Id LotShape LotArea OverallCond YrSold SalePrice
233 Reg 1680 5 2006 94500.0
234 Reg 10650 6 2010 128200.0
235 Reg 7851 5 2010 216500.0
236 Reg 1680 3 2008 89500.0
237 Reg 8773 5 2010 185500.0
238 IR1 9453 7 2010 194500.0
239 Reg 12030 5 2007 318000.0
240 Reg 8741 4 2010 113000.0
241 Reg 9000 5 2010 262500.0
242 Reg 3880 9 2007 110500.0
243 Reg 5000 4 2006 79000.0
244 Reg 10762 6 2009 120000.0
245 IR1 8880 5 2010 205000.0
246 Reg 10400 5 2006 241500.0
247 Reg 9142 8 2006 137000.0
248 Reg 11310 5 2006 140000.0
249 Reg 11317 5 2007 180000.0
250 IR2 159000 7 2007 277000.0
251 IR1 5350 2 2010 76500.0
252 IR1 4750 5 2007 235000.0
253 IR1 8366 5 2008 173000.0
254 Reg 9350 7 2007 158000.0
255 Reg 8400 6 2010 145000.0
256 IR1 8738 5 2006 230000.0
257 IR1 8791 5 2008 207500.0
258 Reg 8814 5 2009 220000.0
259 Reg 12435 5 2008 231500.0
260 Reg 12702 5 2008 97000.0
261 Reg 19296 5 2009 176000.0
262 IR1 9588 5 2007 276000.0
263 IR1 8471 7 2006 151000.0
264 Reg 5500 7 2010 130000.0
265 IR3 5232 5 2008 73000.0
266 IR1 12090 6 2008 175500.0
267 IR1 11207 5 2006 185000.0
268 Reg 8400 8 2008 179500.0
269 Reg 6900 6 2008 120500.0
270 IR1 7917 7 2007 148000.0
271 Reg 10728 5 2006 266000.0
272 IR1 39104 7 2008 241500.0
273 IR1 11764 7 2010 290000.0
274 Reg 9600 6 2009 139000.0
275 Reg 8314 7 2007 124500.0
276 Reg 7264 7 2009 205000.0
277 IR1 9196 5 2010 201000.0
278 Reg 19138 5 2010 141000.0
279 Reg 14450 5 2007 415298.0
280 Reg 10005 5 2008 192000.0
281 Reg 11287 6 2007 228500.0
282 Reg 7200 5 2006 185000.0
283 Reg 5063 5 2009 207500.0
284 Reg 9612 5 2009 244600.0
285 Reg 8012 5 2007 179200.0
286 IR1 4251 5 2007 164700.0
287 IR1 9786 7 2006 159000.0
288 IR1 8125 4 2006 88000.0
289 IR1 9819 5 2010 122000.0
290 Reg 8730 7 2007 153575.0
291 Reg 15611 5 2006 233230.0
292 Reg 5687 6 2008 135900.0
293 Reg 11409 4 2009 131000.0
294 IR1 16659 7 2006 235000.0
295 Reg 9600 5 2009 167000.0
296 IR1 7937 6 2006 142500.0
297 Reg 13710 5 2007 152000.0
298 IR1 7399 5 2007 239000.0
299 Reg 11700 6 2007 175000.0
300 Reg 14000 8 2009 158500.0
301 Reg 15750 5 2006 157000.0
302 IR3 16226 5 2007 267000.0
303 IR1 13704 5 2006 205000.0
304 Reg 9800 7 2006 149900.0
305 Reg 18386 9 2008 295000.0
306 Reg 10386 5 2007 305900.0
307 Reg 13474 5 2007 225000.0
308 IR1 7920 7 2008 89500.0
309 IR1 12342 5 2009 82500.0
310 IR1 12378 5 2006 360000.0
311 IR1 7685 5 2006 165600.0
312 Reg 8000 6 2009 132000.0
313 Reg 7800 7 2006 119900.0
314 IR3 215245 5 2009 375000.0
315 Reg 9600 7 2006 178000.0
316 IR1 7795 5 2009 188500.0
317 IR1 13005 7 2009 260000.0
318 Reg 9000 5 2007 270000.0
319 Reg 9900 5 2009 260000.0
320 Reg 14115 5 2009 187500.0
321 Reg 16259 5 2006 342643.0
322 IR1 12099 5 2007 354000.0
323 IR1 10380 5 2007 301000.0
324 Reg 5820 8 2006 126175.0
325 Reg 11275 7 2010 242000.0
326 Reg 5000 6 2007 87000.0
327 IR1 10846 5 2008 324000.0
328 Reg 11600 5 2006 145250.0
329 IR1 11888 6 2009 214500.0
330 Reg 6402 5 2009 78000.0
331 IR1 10624 4 2007 119000.0
332 Reg 8176 6 2007 139000.0
333 IR1 10655 5 2009 284000.0
334 Reg 8198 5 2008 207000.0
335 IR1 9042 5 2008 192000.0
336 IR1 164660 6 2008 228950.0
337 IR1 14157 5 2007 377426.0
338 Reg 9135 5 2008 214000.0
339 Reg 14145 7 2006 202500.0
340 IR1 12400 7 2009 155000.0
341 Reg 14191 5 2010 202900.0
342 Reg 8400 4 2009 82000.0
343 Reg 8544 4 2006 87500.0
344 IR1 8849 5 2008 266000.0
345 Reg 2592 3 2010 85000.0
346 Reg 6435 5 2006 140200.0
347 IR1 12772 8 2007 151500.0
348 IR1 17600 5 2009 157500.0
349 Reg 2448 5 2008 154000.0
350 IR2 20431 5 2006 437154.0
351 IR1 7820 5 2007 318061.0
352 IR1 5271 5 2006 190000.0
353 Reg 9084 6 2008 95000.0
354 Reg 8520 8 2010 105900.0
355 Reg 8400 5 2006 140000.0
356 IR2 11249 5 2007 177500.0
357 IR1 9248 6 2009 173000.0
358 Reg 4224 5 2007 134000.0
359 IR1 6930 4 2006 130000.0
360 IR1 12011 5 2006 280000.0
361 IR1 7540 6 2007 156000.0
362 Reg 9144 5 2008 145000.0
363 Reg 7301 5 2009 198500.0
364 Reg 1680 8 2009 118000.0
365 IR1 18800 5 2006 190000.0
366 Reg 10690 7 2009 147000.0
367 IR1 9500 5 2009 159000.0
368 IR1 9150 5 2008 165000.0
369 Reg 7800 6 2010 132000.0
370 IR1 9830 7 2010 162000.0
371 IR1 8121 5 2006 172400.0
372 Reg 17120 4 2008 134432.0
373 Reg 7175 5 2010 125000.0
374 Reg 10634 6 2009 123000.0
375 Reg 8200 5 2007 219500.0
376 IR1 10020 1 2009 61000.0
377 IR1 8846 5 2006 148000.0
378 IR1 11143 5 2007 340000.0
379 Reg 11394 2 2010 394432.0
380 IR1 8123 5 2009 179000.0
381 Reg 5000 6 2010 127000.0
382 Reg 7200 5 2006 187750.0
383 IR1 9245 5 2007 213500.0
384 Reg 9000 3 2009 76000.0
385 IR2 53107 5 2007 240000.0
386 Reg 3182 5 2010 192000.0
387 Reg 8410 3 2006 81000.0
388 Reg 7200 6 2009 125000.0
389 IR1 9382 5 2008 191000.0
390 Reg 12474 5 2008 426000.0
391 Reg 8405 8 2008 119000.0
392 IR1 12209 5 2009 215000.0
393 IR1 8339 7 2007 106500.0
394 Reg 7446 5 2006 100000.0
395 Reg 10134 6 2007 109000.0
396 Reg 9571 6 2010 129000.0
397 Reg 7200 5 2009 123000.0
398 Reg 7590 5 2007 169500.0
399 Reg 8967 2 2007 67000.0
400 Reg 8125 5 2009 241000.0
401 IR2 14963 5 2008 245500.0
402 IR1 8767 5 2006 164990.0
403 Reg 10200 8 2008 108000.0
404 Reg 12090 5 2006 258000.0
405 IR1 10364 5 2007 168000.0
406 IR1 9991 4 2009 150000.0
407 Reg 10480 5 2008 115000.0
408 Reg 15576 7 2008 177000.0
409 Reg 14154 5 2007 280000.0
410 Reg 10800 5 2008 339750.0
411 Reg 9571 3 2009 60000.0
412 Reg 34650 5 2006 145000.0
413 IR2 4403 5 2010 222000.0
414 Reg 8960 6 2010 115000.0
415 IR2 11228 5 2008 228000.0
416 IR1 8899 5 2007 181134.0
417 Reg 7844 7 2006 149500.0
418 IR1 22420 6 2007 239000.0
419 Reg 8160 6 2007 126000.0
420 Reg 8450 6 2010 142000.0
421 Reg 7060 5 2008 206300.0
422 IR1 16635 7 2009 215000.0
423 Reg 21750 5 2008 113000.0
424 Reg 9200 5 2008 315000.0
425 Reg 9000 5 2008 139000.0
426 Reg 3378 8 2009 135000.0
427 Reg 12800 5 2009 275000.0
428 IR1 8593 6 2008 109008.0
429 Reg 6762 5 2007 195400.0
430 IR1 11457 5 2009 175000.0
431 Reg 1680 5 2008 85400.0
432 IR1 5586 7 2008 79900.0
433 Reg 1920 5 2007 122500.0
434 IR1 10839 5 2008 181000.0
435 Reg 1890 7 2008 81000.0
436 IR2 10667 6 2009 212000.0
437 Reg 4400 8 2006 116000.0
438 Reg 6000 7 2009 119000.0
439 Reg 4280 6 2007 90350.0
440 Reg 12354 8 2009 110000.0
441 Reg 15431 5 2009 555000.0
442 Reg 12108 4 2008 118000.0
443 Reg 6240 7 2008 162900.0
444 Reg 3922 5 2007 172500.0
445 Reg 8750 5 2008 210000.0
446 Reg 9855 5 2009 127500.0
447 IR1 16492 6 2010 190000.0
448 IR1 11214 5 2006 199900.0
449 Reg 8600 6 2006 119500.0
450 Reg 6000 7 2007 120000.0
451 Reg 5684 8 2006 110000.0
452 IR1 70761 5 2006 280000.0
453 IR1 9303 5 2007 204000.0
454 Reg 9000 5 2009 210000.0
455 Reg 9297 5 2006 188000.0
456 Reg 9600 6 2007 175500.0
457 Reg 4571 5 2008 98000.0
458 IR1 53227 6 2008 256000.0
459 Reg 5100 7 2008 161000.0
460 IR1 7015 4 2009 110000.0
461 IR1 8004 5 2009 263435.0
462 Reg 7200 9 2009 155000.0
463 IR1 8281 5 2009 62383.0
464 IR1 11988 7 2008 188700.0
465 Reg 8430 5 2009 124000.0
466 Reg 3072 5 2006 178740.0
467 Reg 10628 5 2007 167000.0
468 Reg 9480 7 2007 146500.0
469 IR1 11428 5 2007 250000.0
470 IR1 9291 5 2008 187000.0
471 IR1 6820 5 2010 212000.0
472 Reg 11952 6 2007 190000.0
473 Reg 3675 5 2008 148000.0
474 IR1 14977 5 2007 440000.0
475 Reg 5330 5 2007 251000.0
476 Reg 8480 6 2007 132500.0
477 Reg 13125 5 2008 208900.0
478 Reg 13693 5 2007 380000.0
479 Reg 10637 5 2009 297000.0
480 Reg 5925 7 2007 89471.0
481 IR1 16033 5 2006 326000.0
482 IR1 11846 5 2006 374000.0
483 Reg 2500 8 2009 155000.0
484 Reg 4500 5 2006 164000.0
485 IR1 7758 7 2007 132500.0
486 Reg 9600 7 2009 147000.0
487 Reg 10289 7 2007 156000.0
488 IR1 12243 6 2007 175000.0
489 Reg 10800 4 2006 160000.0
490 Reg 1526 8 2009 86000.0
491 Reg 2665 6 2008 115000.0
492 Reg 9490 7 2006 133000.0
493 IR1 15578 5 2006 172785.0
494 Reg 7931 6 2008 155000.0
495 Reg 5784 8 2009 91300.0
496 Reg 7879 5 2009 34900.0
497 IR1 12692 5 2007 430000.0
498 Reg 9120 6 2008 184000.0
499 Reg 7800 7 2009 130000.0
500 IR1 7535 7 2007 120000.0
501 Reg 1890 5 2007 113000.0
502 Reg 9803 5 2008 226700.0
503 Reg 9170 7 2007 140000.0
504 IR1 15602 8 2010 289000.0
505 Reg 2308 5 2009 147000.0
506 Reg 7596 5 2009 124500.0
507 IR1 9554 5 2006 215000.0
508 IR1 7862 5 2009 208300.0
509 Reg 9600 9 2008 161000.0
510 Reg 9600 6 2009 124500.0
511 Reg 14559 7 2009 164900.0
512 IR1 6792 5 2006 202665.0
513 Reg 9100 5 2006 129900.0
514 Reg 9187 5 2007 134000.0
515 Reg 10594 5 2007 96500.0
516 Reg 12220 5 2009 402861.0
517 IR1 10448 6 2009 158000.0
518 IR1 10208 5 2009 265000.0
519 IR1 9531 5 2007 211000.0
520 Reg 10918 9 2009 234000.0
521 Reg 10800 7 2008 106250.0
522 IR1 11988 6 2007 150000.0
523 Reg 5000 7 2006 159000.0
524 IR1 40094 5 2007 184750.0
525 IR1 11787 5 2007 315750.0
526 Reg 7500 5 2006 176000.0
527 Reg 13300 7 2007 132000.0
528 IR1 14948 5 2008 446261.0
529 IR1 9098 7 2007 86000.0
530 IR1 32668 3 2007 200624.0
531 Reg 10200 5 2008 175000.0
532 IR1 6155 8 2008 128000.0
533 Reg 7200 7 2010 107500.0
534 Reg 5000 3 2007 39300.0
535 IR1 9056 5 2006 178000.0
536 Reg 7000 7 2008 107500.0
537 IR1 8924 5 2008 188000.0
538 IR1 12735 5 2008 111250.0
539 IR1 11553 5 2006 158000.0
540 Reg 11423 5 2010 272000.0
541 Reg 14601 5 2009 315000.0
542 Reg 11000 5 2007 248000.0
543 Reg 10140 5 2009 213250.0
544 Reg 4058 5 2007 133000.0
545 IR1 17104 5 2006 179665.0
546 IR1 13837 5 2006 229000.0
547 IR1 8737 7 2007 210000.0
548 Reg 7244 7 2007 129500.0
549 IR1 8235 7 2008 125000.0
550 Reg 9375 5 2009 263000.0
551 Reg 4043 6 2008 140000.0
552 Reg 6000 6 2008 112500.0
553 IR1 11146 5 2009 255500.0
554 Reg 8777 5 2009 108000.0
555 Reg 10625 5 2008 284000.0
556 Reg 6380 6 2006 113000.0
557 IR1 14850 5 2006 141000.0
558 Reg 11040 6 2006 108000.0
559 IR2 21872 5 2008 175000.0
560 Reg 3196 5 2006 234000.0
561 IR1 11341 6 2010 121500.0
562 Reg 10010 5 2006 170000.0
563 Reg 13907 6 2008 108000.0
564 Reg 21780 7 2008 185000.0
565 IR1 13346 5 2006 268000.0
566 Reg 6858 4 2010 128000.0
567 IR1 11198 5 2008 325000.0
568 IR1 10171 5 2010 214000.0
569 IR1 12327 8 2009 316600.0
570 IR1 7032 5 2006 135960.0
571 IR1 13101 5 2008 142600.0
572 Reg 7332 6 2006 120000.0
573 IR1 13159 5 2009 224500.0
574 IR1 9967 5 2007 170000.0
575 Reg 10500 7 2007 139000.0
576 Reg 8480 5 2008 118500.0
577 Reg 6292 7 2009 145000.0
578 IR1 11777 6 2006 164500.0
579 Reg 3604 5 2008 146000.0
580 Reg 12150 5 2008 131500.0
581 IR1 14585 6 2007 181900.0
582 Reg 12704 5 2009 253293.0
583 Reg 11841 5 2007 118500.0
584 Reg 13500 9 2008 325000.0
585 Reg 6120 7 2009 133000.0
586 Reg 11443 5 2006 369900.0
587 Reg 10267 7 2008 130000.0
588 IR1 8740 6 2009 137000.0
589 IR1 25095 8 2009 143000.0
590 Reg 9100 6 2008 79500.0
591 Reg 8320 5 2008 185900.0
592 IR1 13478 5 2009 451950.0
593 Reg 6600 8 2008 138000.0
594 Reg 4435 5 2009 140000.0
595 IR1 7990 6 2008 110000.0
596 IR1 11302 5 2006 319000.0
597 Reg 3600 7 2006 114504.0
598 Reg 3922 5 2007 194201.0
599 Reg 12984 6 2006 217500.0
600 Reg 1950 6 2008 151000.0
601 Reg 10927 5 2006 275000.0
602 Reg 9000 6 2007 141000.0
603 IR1 10041 5 2006 220000.0
604 Reg 3182 5 2010 151000.0
605 IR1 12803 5 2008 221000.0
606 Reg 13600 6 2009 205000.0
607 IR2 12464 5 2009 152000.0
608 Reg 7800 8 2006 225000.0
609 Reg 12168 6 2007 359100.0
610 Reg 7943 5 2007 118500.0
611 Reg 11050 5 2009 313000.0
612 IR1 10395 6 2007 148000.0
613 Reg 11885 5 2009 261500.0
614 Reg 8402 5 2007 147000.0
615 Reg 1491 6 2010 75500.0
616 Reg 8800 7 2010 137500.0
617 IR1 7861 5 2006 183200.0
618 Reg 7227 6 2008 105500.0
619 Reg 11694 5 2007 314813.0
620 Reg 12244 5 2008 305000.0
621 Reg 8248 3 2008 67000.0
622 Reg 10800 7 2008 240000.0
623 Reg 7064 6 2009 135000.0
624 Reg 2117 5 2007 168500.0
625 Reg 10400 5 2006 165150.0
626 IR1 10000 6 2010 160000.0
627 IR1 12342 5 2007 139900.0
628 Reg 9600 6 2010 153000.0
629 IR1 11606 5 2007 135000.0
630 Reg 9020 5 2008 168500.0
631 Reg 9000 6 2006 124000.0
632 Reg 4590 5 2007 209500.0
633 Reg 11900 5 2009 82500.0
634 Reg 9250 7 2007 139400.0
635 Reg 6979 5 2010 144000.0
636 Reg 10896 7 2007 200000.0
637 Reg 6120 3 2009 60000.0
638 Reg 6000 4 2009 93000.0
639 Reg 8777 7 2008 85000.0
640 Reg 3982 5 2006 264561.0
641 IR1 12677 5 2008 274000.0
642 Reg 7050 5 2007 226000.0
643 Reg 13860 7 2009 345000.0
644 Reg 10793 5 2007 152000.0
645 Reg 9187 5 2009 370878.0
646 IR1 10530 5 2007 143250.0
647 Reg 7200 5 2008 98300.0
648 IR1 10452 5 2008 155000.0
649 Reg 7700 5 2010 155000.0
650 Reg 1936 6 2007 84500.0
651 Reg 8125 6 2008 205950.0
652 Reg 9084 5 2009 108000.0
653 Reg 8750 5 2009 191000.0
654 Reg 10320 7 2008 135000.0
655 IR1 10437 6 2008 350000.0
656 Reg 1680 5 2010 88000.0
657 IR1 10007 7 2008 145500.0
658 Reg 7200 6 2008 149000.0
659 Reg 17503 5 2010 97500.0
660 Reg 9937 7 2009 167000.0
661 Reg 12384 7 2007 197900.0
662 IR2 46589 7 2009 402000.0
663 Reg 13560 3 2009 110000.0
664 Reg 10012 5 2008 137500.0
665 IR2 20896 5 2006 423000.0
666 IR1 11194 5 2006 230500.0
667 IR1 18450 5 2007 129000.0
668 Reg 8125 5 2008 193500.0
669 Reg 14175 6 2006 168000.0
670 Reg 11600 5 2006 137500.0
671 Reg 8633 5 2009 173500.0
672 Reg 6629 6 2009 103600.0
673 IR1 11250 6 2006 165000.0
674 Reg 14442 7 2007 257500.0
675 Reg 9200 6 2008 140000.0
676 Reg 2289 6 2009 148500.0
677 Reg 9600 2 2006 87000.0
678 Reg 9022 8 2009 109500.0
679 IR1 11844 5 2009 372500.0
680 IR1 9945 5 2007 128500.0
681 Reg 8012 5 2010 143000.0
682 IR2 4500 5 2009 159434.0
683 Reg 2887 5 2008 173000.0
684 IR1 11248 5 2007 285000.0
685 IR2 16770 5 2010 221000.0
686 IR1 5062 5 2007 207500.0
687 Reg 10207 6 2007 227875.0
688 IR2 5105 5 2007 148800.0
689 Reg 8089 6 2007 392000.0
690 IR1 7577 5 2007 194700.0
691 Reg 4426 5 2008 141000.0
692 IR1 21535 6 2007 755000.0
693 IR1 26178 5 2006 335000.0
694 Reg 5400 6 2006 108480.0
695 Reg 6120 6 2009 141500.0
696 IR1 13811 6 2006 176000.0
697 Reg 6000 7 2006 89000.0
698 IR1 6420 7 2006 123500.0
699 Reg 8450 8 2010 138500.0
700 IR2 4282 5 2008 196000.0
701 Reg 14331 5 2006 312500.0
702 Reg 9600 5 2006 140000.0
703 IR1 12438 5 2006 361919.0
704 Reg 7630 9 2010 140000.0
705 Reg 8400 5 2010 213000.0
706 Reg 5600 5 2010 55000.0
707 IR2 115149 5 2007 302000.0
708 Reg 6240 5 2009 254000.0
709 IR1 9018 5 2007 179540.0
710 IR1 7162 7 2008 109900.0
711 IR1 4130 6 2008 52000.0
712 Reg 8712 7 2010 102776.0
713 IR1 4671 5 2008 189000.0
714 Reg 9873 5 2006 129000.0
715 IR1 13517 8 2010 130500.0
716 Reg 10140 5 2009 165000.0
717 Reg 10800 8 2007 159500.0
718 Reg 10000 6 2008 157000.0
719 Reg 10542 5 2008 341000.0
720 IR1 9920 6 2006 128500.0
721 IR1 6563 5 2006 275000.0
722 Reg 4426 5 2010 143000.0
723 Reg 8120 7 2009 124500.0
724 Reg 8172 6 2008 135000.0
725 IR1 13286 5 2009 320000.0
726 Reg 6960 6 2009 120500.0
727 IR1 21695 9 2009 222000.0
728 Reg 7314 5 2009 194500.0
729 Reg 11475 5 2009 110000.0
730 Reg 6240 5 2009 103000.0
731 IR1 5389 5 2010 236500.0
732 IR1 9590 5 2007 187500.0
733 IR1 11404 5 2008 222500.0
734 Reg 10000 6 2009 131400.0
